ObservatoryIdentifier,ObservatoryName,LocationAddress,EnglishAddress,BasinIdentifier,CountyIdentifier,TownIdentifier,LocationXByTWD97,LocationXByTWD97,Elevation,DisuseStatus,Remarks,AgencyNameOfSite,Village,AffiliatedSubsidiaryBasin,AffiliatedSubSubsidiaryBasin,EquipementStatus,TransmissionEquipment
"01R040","士文","屏東縣春日鄉士文村65號(古華國小士文分校)","No.65, Shiwen Rd., Chunri Township, Pingtung County 942, Taiwan (R.O.C.)","1790","11","1001331","215356.92","2474378.38","410.00","現存","","古華國小士文分校","士文村","","","自記式","是"
"01R440","泗林","屏東縣潮州鎮泗林村開元2巷1號泗林國小","No.1, Kaiyuan 2Nd Ln., Chaozhou Township, Pingtung County 920, Taiwan (R.O.C.)","1740","11","1001302","205730.58","2494037.72","28.68","現存","","泗林國小","泗林村","174010","","自記式","是"
"01S130","武陵","臺東縣延平鄉明野路16號(武陵國小)","Wuling Village,Yanping Township,Taitung County .","2200","5","1001413","261826.56","2540936.46","288","現存","","武陵國小","武陵村","220010","","自記式","是"
"01S210","知本(5)","臺東縣卑南鄉溫泉村(上泓泉度假飯店斜坡)","Wenquan Village,Beinan Township,Taitung County .","2170","5","1001409","249906.47","2510053.83","173","現存","","林務局","溫泉村","","","自記式","是"
"01S260","忠勇","臺東縣長濱鄉忠勇村五鄰58號(忠勇國小)","Zhongyong Village,Changbin Township,Taitung County .","2310","5","1001408","294939.08","2580421.37","152","現存","","臺東縣長濱鄉忠勇國小(廢校)","忠勇村","","","自記式","是"
"01S270","樟原(1)","臺東縣長濱鄉樟原村三間南溪5號(南溪國小後側)","Zhongyong Village,Changbin Township,Taitung County .","2350","5","1001408","296961.72","2589072.29","115","現存","","原南溪國小","樟原村","","","自記式","是"
"01S360","紹家","臺東縣達仁鄉新化村101號(新化派出所)","Xinhua Village,Daren Township,Taitung County .","2100","5","1001415","235418.70","2475633.80","480","現存","","臺東縣警察局大武分局新化派出所","新化村","","","自記式","是"
"01S430","霧鹿","臺東縣海端鄉霧鹿村2鄰12號(霧鹿國小)","No. 12,Neighborhood 2,Wulu Village,Haiduan Township,Taitung County .","2200","5","1001412","254242.41","2563024.97","925","現存","","霧鹿國小","霧露村","220010","","自記式","是"
"01S440","新武(3)","臺東縣海端鄉海瑞村新武呂5號(初來國小新武分校)","No. 1,Xinwu Village,Haiduan Township,Taitung County .","2200","5","1001412","262864.29","2558955.03","465","現存","TEL:089-931568","初來國小新武分校","海端村","220010","","自記式","是"
"01S470","向陽(2)","臺東縣海端鄉利稻村(向陽遊樂區行政中心)","Xiangyang Village,Haiduan Township,Taitung County .","2200","5","1001412","248438.74","2571733.23","2362","現存","","向陽遊樂區","向陽村","220010","","自記式","是"
"01S540","天鳥","臺東縣卑南鄉溫泉村","Wenquan Village,Beinan Township,Taitung County .","2170","5","1001404","247945.71","2508460.87","312.4","廢站","","林務局","溫泉村","","","自記式","否"
"01S560","南鵝","臺東縣卑南鄉東興村(大南發電所進水口對面)","Dongxing Village,Beinan Township,Taitung County .","2180","5","1001404","252502.40","2518401.35","180","現存","","大南發電所","東興村","","","自記式","是"
"01S570","上里","臺東縣延平鄉紅葉村紅谷路2號 (卑南上圳管理房頂)","No. 2,Honggu Rd.,Hongye Village,Yanping Township,Taitung County .","2200","5","1001413","255853.43","2530692.35","274","現存","","台東農田水利會卑南上圳工作站","紅葉村","220010","","自記式","是"
"01S610","台東(7)","臺東縣臺東市寶桑路24號(第八河川局)","No. 24,Baosang Rd., Taitung City, Taitung County","2200","5","1001401","266293.35","2516995.67","31","現存","","八河局","建國里","220010","","自記式","是"
"01S86","電光","臺東縣關山鎮電光里中興路93號(電光國小)","No. 93,Zhongxing Rd.,Dianguang Village,Guanshan Township,Taitung County .","2200","5","1001403","267811.80","2544931.39","220.00","現存","","電光國小","電光里","220010","","自記式","是"
"01S87","北源","臺東縣東河鄉北源村順那路21號(北源國小)","No. 21,Shunna Rd.,Beiyuan Village,Donghe Township,Taitung County .","2230","5","1001407","280067.99","2548656.76","135.00","現存","","北源國小","北源村","","","自記式","是"
"01T070","銅門","花蓮縣秀林鄉銅門村56之2號(銅門活動中心)","TUNG MEN T. HSIULIN H. HUALIEN H.","2420","9","","300328.61","2651229.78","165.00","廢站","","","","","","",""
"01T220","卓麓(4)","花蓮縣卓溪鄉卓清村(卓樂國小)","Zhuoqing Vil., Zhuoxi Township, Hualien County","2370","9","1001513","277372.28","2577084.80","210.00","現存","","卓樂國小","卓清村","237010","","自記式","是"
"01T230","立山","花蓮縣卓溪鄉立山村山里65號","No.65, Shan Vil., Zhuoxi Township, Hualien County","2370","9","1001513","281946.59","2591942.59","180.00","現存","","","立山村","237010","","自記式","是"
"01T240","苗圃","花蓮縣卓溪鄉玉里林道林務局屋舍旁","Yuli, Zhuoxi Township, Hualien County","2370","9","1001513","278552.08","2590487.89","940.00","現存","玉里林道","林務局屋舍旁","","237010","","自記式","是"
"01T500","北埔","花蓮縣新城鄉北埔村光復路485號(水利會新城工作站)","No.485, Guangfu Rd., Xincheng Township, Hualien County","2440","9","1001504","311484.03","2659258.87","20.00","現存","","水利會新城工作站","北埔村","","","自記式","是"
"01T560","西林","花蓮縣萬榮鄉西林村23號","No.23, Xilinvil., Wanrong Township, Hualien County","2420","9","1001512","294021.75","2635068.31","200.00","現存","","私有","西林村","242010","242011","自記式","是"
"01T640","哇拉鼻","花蓮縣卓溪鄉卓清村哇拉鼻","Zhuoqing Vil., Zhuoxi Township, Hualien County","2370","9","1001513","269076.99","2583477.00","960.00","存轉廢","","玉山國家公園","卓清村","237010","","自記式","否"
"01T650","大坪","花蓮縣萬榮鄉馬遠村大坪(臨時產業道路)","Mayuan Vil., Wanrong Township, Hualien County","2370","9","1001512","283291.00","2609164.00","600.00","存轉廢","","私有","馬遠村","237010","","自記式","否"
"01T660","馬太安","花蓮縣萬榮鄉馬錫山山區(林務局林道16公里)","Maxishan, Wanrong Township, Hualien County","2420","9","1001512","287932.35","2618826.14","1000.00","現存","馬錫山山區","林務局林道16公里","","242010","242011","自記式","是"
"01T670","新東礦","花蓮縣萬榮鄉西林村","Xilinvil., Wanrong Township, Hualien County","2420","9","1001512","291110.08","2634575.16","1100.00","現存","","","西林村","242010","242011","自記式","是"
"01T720","明里","花蓮縣富里鄉明里村2鄰明里24號(老村長家)","No.24, Ming Vil., Fuli Township, Hualien County","2370","9","1001510","275762.31","2566708.10","210.00","現存","","私有","明里村","237010","","自記式","是"
"01T730","豐濱","花蓮縣豐濱鄉豐濱村光豐路51號(自來水豐濱營運所)","No.51, Guangfeng Rd., Fengbin Township, Hualien County","2380","9","1001508","303118.69","2611091.35","30.00","現存","","自來水豐濱營運所","豐濱村","","","自記式","是"
"01T760","新大觀(2)","花蓮縣萬榮鄉萬榮村(萬榮林道19.6K)","Wanrong Vil., Wanrong Township, Hualien County","2420","9","1001512","285184.94","2627791.00","1000.00","存轉廢","","","萬榮村","242010","242011","自記式","否"
"01T770","新高嶺(2)","花蓮縣萬榮鄉萬榮村(萬榮林道34.6K)","Wanrong Vil., Wanrong Township, Hualien County","2420","9","1001512","282024.98","2627026.00","1800.00","存轉廢","","","萬榮村","242010","242011","自記式","否"
"01T9J","六十石山","花蓮縣富里鄉竹田村25鄰雲閩36號(彭大媽客家食堂)","No.36, Yunmin, Fuli Township, Hualien County","2370","9","1001510","283056.56","2568410.41","730.00","現存","（彭大媽客家食堂）","國有財產局","竹田村","237010","","自記式","是"
"01T9K","卓清","花蓮縣卓溪鄉新生段14號(舊清水管訓班大隊部)","No.14, Xinsheng Sec., Zhuoxi Township, Hualien County","2370","9","1001513","271915.08","2573183.99","735.00","現存","（舊清水管訓班大隊部）","國有財產局","","237010","","自記式","否"
"01T9L","東富","花蓮縣光復鄉東富路六十號(東富國小)","No.60, Dongfu Rd., Guangfu Township, Hualien County","2420","9","1001507","299180.00","2620200.00","110.00","現存","已撤校","東富國小","","242010","242011","自記式","是"
"01U050","土場(1)","宜蘭縣大同鄉太平村(土場檢查站屋頂)","Taiping Vil., Datong Township, Yilan County 267, Taiwan (R.O.C.)","2560","8","1000211","300293.15","2718577.94","400.00","現存","","太平山工作站","太平村","256010","256011","自記式","是"
"01U060","梵梵(2)","宜蘭縣大同鄉英土村(梵梵派出所)","Yingtu Vil., Datong Township, Yilan County 267, Taiwan (R.O.C.)","2560","8","1000211","303230.00","2723017.00","295.00","現存","","英士國小","英土村","256010","256011","自記式","是"
"01U070","留茂安","宜蘭縣大同鄉四季村(留茂安派出所)","Siji Vil., Datong Township, Yilan County 267, Taiwan (R.O.C.)","2560","8","1000211","295731.00","2713985.00","585.00","現存","","留茂安派出所","四季村","256010","256011","自記式","是"
"01U080","南山","宜蘭縣大同鄉南山村(南山派出所)","Nanshanvil., Datong Township, Yilan County 267, Taiwan (R.O.C.)","2560","8","1000211","288475.00","2703478.00","1050.00","現存","","南山派出所","南山村","256010","256011","自記式","是"
"01U120","新寮(1)","宜蘭縣冬山鄉中山村中山路126號","No.126, Zhongshan Rd., Dongshan Township, Yilan County 269, Taiwan (R.O.C.)","2550","8","1000208","326143.00","2724445.00","60.00","現存","","縣管河川","中山村","","","自記式","是"
"01U130","冬山","宜蘭縣冬山鄉冬山村(水利會冬山工作站)","Dongshan Vil., Dongshan Township, Yilan County 269, Taiwan (R.O.C.)","2550","8","1000208","329378.00","2725646.00","5.00","現存","","冬山水利工作站","冬山村","","","自記式","是"
"01U190","新北城","宜蘭縣羅東鎮北成里(五結堤防堤頂)","Beicheng Vil., Luodong Township, Yilan County 265, Taiwan (R.O.C.)","2560","8","1000208","325791.00","2730632.00","16.50","現存","","中央管河川","北成里","256010","256011","自記式","是"
"01U230","大濁水","宜蘭縣南澳鄉澳花村(澳花國小)","Aohua Vil., Nan’Ao Township, Yilan County 272, Taiwan (R.O.C.)","2500","8","1000212","325071.00","2691701.00","48.00","現存","","澳花國小","澳花村","250010","","自記式","是"
"01U450","樟林","宜蘭縣南澳鄉金洋村(村辦公室屋頂)","Jinyang Vil., Nan’Ao Township, Yilan County 272, Taiwan (R.O.C.)","2510","8","1000212","326006.00","2702386.00","160.00","現存","","金洋國小","金洋村","251010","","自記式","是"
"01U460","五峰","宜蘭縣礁溪鄉大忠村大忠路","Dazhong Rd., Jiaoxi Township, Yilan County","2570","8","1000205","325668.00","2747146.00","83","現存","","縣管河川","大忠村","","","自記式","是"
"01U470","武塔","宜蘭縣南澳鄉武塔村新溪路4號(屋頂)","No.4, Xinxi Rd., Nan’Ao Township, Yilan County","2510","8","1000212","328811.00","2705013.00","32.00","現存","","武塔派出所","武塔村","251010","","自記式","是"
"01U560","太平山(1)","宜蘭縣大同鄉太平村太平巷","Taiping Lane, Taiping Vil, Datong Township, Yilan County","2500","8","1000212","304377.00","2709890.00","1960.00","現存","","太平山工作站","太平村","250010","","自記式","是"
"01U78","四季","宜蘭縣大同鄉四季村和勳巷1號(四季國小)","No.1, Hexun Ln., Siji Vil., Datong Township, Yilan County","2560","8","1000211","293203.00","2709177.00","804.00","現存","","四季國小","四季村","256010","256011","自記式","是"
"01U79","清水","宜蘭縣大同鄉三星路8段501巷156號之1(清水地熱發電廠)","No.156-1, Ln. 501, Sec. 8, Sanxing Rd., Sanxing Township, Yilan County","2560","8","1000211","314526.00","2723274.00","266.00","現存","","清水地熱發電廠","","256010","256011","自記式","是"
"01V010","高中","高雄市桃源區高中里44號","KUOCHUNG T. TAOYUAN H. KAOHSIUNG H.","1730","14","","221216.52","2558537.55","520.00","廢站","","","","","","",""
"01V011","高中(1)","高雄市桃園區","No.90, Xingzhong Ln., Taoyuan Dist., Kaohsiung City 848, Taiwan (R.O.C.)","1730","14","6403700","222040.02","2558540.55","525.6","廢站","","高中派出所","高中村","173010","173011","自記式","是"
"01V040","六龜(4)","高雄市六龜區光復路40號","No.9, Minzhi Rd., Liugui Dist., Kaohsiung City 844, Taiwan (R.O.C.)","1730","14","6403200","212522.00","2543974.00","265","現存","","六龜國小","六龜里","173010","173011","自記式","是"
"01V050","藤枝(2)","高雄市桃源區寶山里籐枝(寶山國小籐枝分校-舊)","PAOSHAN T. TAOYUAN H. KAOHSIUNG H.","1730","14","","224934.01","2551767.58","1640.00","廢站","","","","","","",""
"01V060","梅山(2)","高雄市桃源區梅山巷55號(梅山青年活動中心)","No.55, Meishan Ln., Taoyuan Dist., Kaohsiung City 848, Taiwan (R.O.C.)","1730","14","6403700","232080.85","2573699.81","850.00","現存","","梅山青年活動中心","梅山村","173010","173011","自記式","是"
"01V070","天池","高雄市桃源區梅山里(林務局天池工作站)","Tianchi Station, Meishan Ln., Taoyuan District, Kaohsiung City, Taiwan(R.O.C.)","1730","14","6403700","241498.74","2575023.90","2230.00","現存","","林務局天池工作站","梅山村","173010","173011","自記式","是"
"01V080","民族","高雄市三民區民族里鞍山巷59號(民族國小)","MINGTZU T. SHANMING H. KAOHSIUNG H.","1730","14","6401200","218788.43","2568376.51","530.00","廢站","","","","173010","173011","自記式","否"
"01W010","望安","澎湖縣望安鄉東安村73之7號(望安鄉公所)","No.73-7, Wang’An, Dong’An Vil., Wang’An Township, Penghu County","1610","23","1001605","96685.97","2584651.70","18.00","現存","","","","","","","是"
"21C040","十一份","桃園市龍潭區佳安里佳安路2號(北區水資源局旁)","No.2, Jiaan Rd., Longtan Dist., Taoyuan City","1140","13","6800900","274394.35","2747570.00","235.00","現存","","","","","","自記式","否"
"21C050","石門","石門水庫運轉中心內","Daping T. Luntan H. Taoyuan H.","1140","13","6800900","274280.57","2744893.21","255.00","現存","","","","","","自記式","是"
"21C060","復興","桃園市復興區澤仁里","Zeren Vil. Fuxing Dist., Taoyuan City","1140","13","6801300","285524.20","2745703.94","470.00","現存","","","","","","自記式","否"
"21C070","巴陵","桃園市復興區華峻里","Huajun  Vil. Fuxing Dist., Taoyuan City","1140","13","6801300","290001.15","2730972.78","1220.00","現存","","","","","","自記式","是"
"21C080","高義","桃園市復興區高義里","Gaoyi Vil. Fuxing Dist., Taoyuan City","1140","13","6801300","286585.94","2733838.48","620.00","現存","","","","","","自記式","是"
"21C090","嘎拉賀","桃園市復興區華峻里","Huajun Vil. Fuxing Dist., Taoyuan City","1140","13","6801300","290485.49","2726134.73","1260.00","現存","","","","","","自記式","是"
"21C110","長興","桃園市復興區長興里","Changxing Vil. Fuxing Dist., Taoyuan City","1140","13","6801300","281038.54","2743683.53","350.00","現存","","","","","","自記式","否"
"21C140","霞雲","桃園市復興區羅浮里","Luofu T. Fuxing H.Taoyuan H.","1140","13","6801300","286899.81","2742828.80","350.00","現存","","","","","","自記式","是"
"21C150","三光","桃園市復興區三光里","Sanguang Vil. Fuxing Dist., Taoyuan City","1140","13","6801300","287103.39","2729403.02","630.00","現存","","","","","","自記式","否"
"21D120","鞍部","新竹縣尖石鄉宇老村1鄰4號","Yulao T.Jianshi H. Hsinchu H.","1140","19","1000412","278535.32","2728911.72","1450.00","現存","","","","","","自記式","否"
"21D140","秀巒","新竹縣尖石鄉秀巒村(秀巒國小斜對面)","Xiuluan T.Jianshi H. Hsinchu H.","1140","19","1000412","278864.34","2723572.82","840.00","現存","","","","","","自記式","是"
"21D150","玉峰","新竹縣尖石鄉玉峰村(玉峰國小對面)","Yufeng T.Jianshi H. Hsinchu H.","1140","19","1000412","280480.59","2728110.85","780.00","現存","","","","","","自記式","是"
"21D160","白石","新竹縣尖石鄉養老村","Yanglao T.Jianshi H. Hsinchu H.","1140","19","1000412","276366.95","2720233.09","1620.00","現存","","","","","","自記式","是"
"21D170","鎮西堡","新竹縣尖石鄉新光村","Xinguang T.Jianshi H. Hsinchu H.","1140","19","1000412","281065.85","2718606.43","630.00","現存","","","","","","自記式","是"
"21D350","西丘斯山","新竹縣尖石鄉秀巒村","Xiuluan T.Jianshi H. Hsinchu H.","1140","19","1000412","286853.88","2712950.56","2000.00","現存","","","","","","自記式","是"
"21U110","池端","宜蘭縣大同鄉棲蘭山池端","Chiduan T. Datong H. Yilan H.","1140","8","1000211","298064.73","2727241.24","1150.00","現存","","","","","","自記式","是"
"H0O660","曾文新村","臺南市楠西區密枝村70號","No.70, Mizhi, Nanxi Dist., Tainan City 715, Taiwan (R.O.C.)","1630","6","6702400","198661.50","2568818.65","147.00","現存","","","","","","",""
"H1M220","里佳","嘉義縣阿里山鄉里佳村","Lijia, Alishan Township, Chiayi County 605, Taiwan (R.O.C.)","1630","21","1001018","221378.77","2587085.84","1550.00","現存","","","","","","",""
"H1M230","水山","嘉義縣阿里山鄉自忠村水山","Zizhong, Alishan Township, Chiayi County 605, Taiwan (R.O.C.)","1630","21","1001018","231675.03","2596636.11","2450.00","現存","","","","","","",""
"H1M240","樂野","嘉義縣阿里山鄉樂野村(福山)","Leye, Alishan Township, Chiayi County 605, Taiwan (R.O.C.)","1630","21","1001018","221871.16","2595420.38","1850.00","現存","","","","","","",""
"H1M250","馬頭山","嘉義縣大埔鄉永樂村","Yongle Vil., Dapu Township, Chiayi County 607, Taiwan (R.O.C.)","1630","21","1001017","209443.02","2581577.34","1020.00","現存","","","","","","",""
"H1M420","三角南山","臺南市南化區三角南山","Dapu Township, Chiayi County 607, Taiwan (R.O.C.)","1630","6","6702500","207845.39","2569523.22","1086.00","現存","","","","","","",""
"H1M430","龍美","嘉義縣番路鄉公田大山","Fanlu Township, Chiayi County 602, Taiwan (R.O.C.)","1630","21","1001018","215484.02","2589713.87","1200.00","現存","","","","","","",""
"H1O080","牛稠埔","高雄市田寮區大新路2號","No.2, Daxin Rd., Tianliao Dist., Kaohsiung City 823, Taiwan (R.O.C.)","1670","14","6402200","185392.99","2526136.95","70.00","現存","","","","","","",""
"H1O081","汝仍","屏東縣牡丹鄉石門村","Shimen Vil., Mudan Township, Pingtung County 945, Taiwan (R.O.C.)","1850","11","1001333","227238.83","2450532.88","161.00","現存","","","","","","",""
"H1O082","竹仔腳","高雄市燕巢區工程路1號","No.1, Gongcheng Rd., Yanchao Dist., Kaohsiung City 824, Taiwan (R.O.C.)","1670","14","6402100","183817.92","2522635.82","46.00","現存","","","","","","",""
"H1O083","牡丹","屏東縣牡丹鄉石門村","Shimen Vil., Mudan Township, Pingtung County 947, Taiwan (R.O.C.)","1850","11","1001333","231234.14","2450545.44","181.00","現存","","","","","","","是"
"H1O940","大棟山","嘉義縣大埔鄉大棟山","Dadongshan,Baihe Dist., Tainan City 732, Taiwan (R.O.C.)","1630","21","1001017","202018.77","2578462.49","1234.00","現存","","","","","","",""
"H1P970","表湖","高雄市那瑪夏區民權里表湖","Biaohu,Minquanvil.,Namaxia Dist., Kaohsiung City 849, Taiwan (R.O.C.)","1630","14","6403800","215273.74","2573133.32","1100.00","現存","","","","","","",""
"O1AF9","三貂嶺","新北市瑞芳區魚寮路底三貂嶺火車站旁","Yuliao Rd., Ruifang Dist., New Taipei City","1140","4","6501200","332793.80","2772617.78","118.00","現存","","","","","","","是"
"O1AG0","社后橋","新北市汐止區中興路社后橋","Sehou Bridge,Zhongxing Rd., Xizhi Dist., New Taipei City","1140","4","6501100","313943.79","2772936.77","13.00","現存","","","","","","","是"
"O1AG1","熊空山","新北市三峽區竹坑路底","Zhu Keng  Rd., Sanxia Dist., New Taipei City","1140","4","6500900","295671.10","2752073.03","778.00","現存","","","","","","","是"
"O1AH2","上林國小","新北市雙溪區上林里內平林60號","No.60, Neipinglin, Shuangxi Dist., New Taipei City","2620","4","6502500","334028.00","2769281.00","71","現存","","上林國小","上林村","","","自記式","是"
"O1AH3","吉林國小","新北市貢寮區吉林里內寮街55號","No.55, Neiliao St., Gongliao Dist., New Taipei City","2620","4","6502600","339609.00","2764491.00","174","現存","","吉林國小","吉林村","","","自記式","是"
"O1D57","新城國小","新竹縣寶山鄉寶新路二段475號","No.475, Sec. 2, Baoxin Rd., Baoshan Township, Hsinchu County","1320","19","1000410","246712.00","2736243.00","84","現存","","新城國小","","","","自記式","是"
"O1D58","內湖國小","新竹市香山區內湖路109號","No.109, Neihu Rd., Xiangshan Dist., Hsinchu City","1320","18","1001803","240598.00","2737217.00","58","現存","","內湖國小","","","","自記式","是"
"O1D59","成德中學","新竹市北區崧嶺路12巷38號","410F., No.38, Ln. 12, Songling Rd., North Dist., Hsinchu City","1310","18","1001802","245229.00","2742496.00","97","現存","","成德中學","","","","自記式","是"
"O1F39","雙崎(2)","臺中市和平區東崎路二段4號","No.4, Sec. 2, Dongqi Rd., Heping Dist., Taichung City","1400","1","6602900","240875.00","2687401.00","543","現存","","","","140010","","自記式","是"
"O1H54","龍神橋","南投縣水里鄉頂崁村苗圃巷2-1號","No.2-1, Miaopu Ln., Shuili Township, Nantou County","1510","10","1000811","236922.20","2630662.33","322.00","現存","","公有地","頂崁村","151010","151011","自記式","是"
"O1I36","楠溪","南投縣信義鄉楠溪林道0+200K處(玉山登山口附近)","0+200K, Nancy Forest Road,Xinyi Township, Nantou County,Taiwan(R.O.C.)","1730","10","1000812","240597.00","2596648.22","2600","現存","屬於高屏溪支流楠梓仙溪流域","玉山國家管理局","","173010","173011","自記式","是"
"O1J81","北港(2)","雲林縣北港鎮成功路30號(北辰國小)","No.30, Chenggong Rd., Beigang Township, Yunlin County 651, Taiwan (R.O.C.)","1540","17","1000906","178689.00","2608515.00","9.00","現存","","北辰國小","","154010","154011","自記式","是"
"O1M64","豐山","嘉義縣阿里山鄉豐山村","Fengshan Vil., Alishan Township, Chiayi County","1510","21","1001018","224163.00","2607925.00","1052","現存","本站設置於民宅屋頂上","民宅","豐山村","151010","151011","自記式","是"
"O1M65","外來吉","嘉義縣阿里山鄉來吉村","Laiji Vil., Alishan Township, Chiayi County","1510","21","1001018","223462.00","2602947.00","850","現存","","來吉派出所","來吉村","151010","151011","自記式","是"
"O1N1A","大竹坑","臺南市南化區大竹坑村林務局43林班","Nanhua, Nanhua Dist., Tainan City","1630","6","6702500","206677.82","2560042.41","212","現存","由西阿里關站遷至此處觀測","","大竹坑村","163010","","自記式","是"
"O1P47","旗山(4)","高雄市旗山區大德里(旗山國中游泳池樓上)","No.42, Jhongsyue Rd., Cishan District, Kaohsiung City 842, Taiwan (R.O.C.)","1730","14","6403000","196816.69","2531039.28","64.00","現存","","旗山國中","大德里","173010","173011","自記式","是"
"O1R45","新豐(1)","屏東縣高樹鄉新豐村民安路1-10號","No.1-10, Min an Rd., Gaoshu Township, Pingtung County","1730","11","1001311","210711.61","2528329.25","114","現存","","舊寮派出所","新豐村","173010","173011","自記式","是"
"O1R62","新庄國小","屏東縣萬丹鄉新庄村新鐘路410號","No.410, Xinzhong Rd., Wandan Township, Pingtung County","1730","11","1001305","196555.84","2495986.00","9.58","現存","","新庄國小","","173010","173011","自記式","是"
"O1R63","崁頂","屏東縣崁頂鄉中正路117號(崁頂分駐所)","No.117, Zhongzheng Rd., Kanding Township, Pingtung County","1740","11","1001318","199716.00","2490468.00","8","現存","","崁頂分駐所","","","","自記式","是"
"O1S12","鹿鳴橋","臺東縣鹿野鄉鹿鳴村7號(原水文觀測站)","No. 7,Luming Village,Luye Township,Taitung County .","2200","5","1001405","258897.83","2533047.98","195","現存","","原水文觀測站","鹿鳴村","220010","","自記式","是"
"O1S65","利吉國小","臺東縣卑南鄉利吉村環山路10鄰12號(利吉國小)","No. 12,Neighborhood 10,Huanshan Rd.,Liji Village,Beinan Township,Taitung County 95492.","2200","5","1001404","264268.95","2526425.11","130.00","現存","","利吉國小建築物頂樓","利吉村","220010","","自記式","是"
"O1S66","賓茂國小","臺東縣金峰鄉賓茂村68號(賓茂國小)","No. 68,Binmau Village,Jinfeng Township,Taitung County .","2140","5","1001409","245308.35","2492508.49","43.00","現存","","賓茂國小","賓茂村","","","自記式","是"
"O1S68","金針山","臺東縣金峰鄉金山段125地號","Jinfeng Township, Taitung County","2170","5","1001414","245690.00","2505369.00","1110","現存","","","","","","自記式","是"
"O1S69","神山","屏東縣霧臺鄉霧臺村神山巷73號","No.73, Shenshan Ln., Wutai Township, Pingtung County 902, Taiwan (R.O.C.)","1730","11","1001327","222107.00","2516515.00","725","現存","","神山","霧台村","173020","173022","自記式","是"
"O1T80","奇美國小","花蓮縣瑞穗鄉奇美村3鄰47號(奇美國小)","No.47, Qimei Vil., Ruisui Township, Hualien County","2370","9","1001509","295558.00","2599377.00","103","現存","","奇美國小","奇美村","237010","","自記式","是"
"O1T81","卓清國小","花蓮縣卓溪鄉清水6號","No.6, Qingshui, Zhuoxi Township, Hualien County","2370","9","1001513","277837.00","2575137.00","203","現存","","","","237010","","自記式","是"
"O1T82","太平國小","花蓮縣卓溪鄉太平村1鄰2號","No.2, Taiping, Zhuoxi Township, Hualien County","2370","9","1001513","282731.00","2589246.00","150","現存","","","太平村","237010","","自記式","是"
"O1T84","花蓮","花蓮縣花蓮市仁愛街19號","No. 19, Jenai St., Hualien City, Taiwan, R.O.C.","2430","9","1001501","311679.00","2652155.00","18","現存","九河局水情中心樓頂","九河局水情中心","","","","自記式","是"
"O1U88","福山植物園","新北市烏來區福山里(福山植物園內)","Fushan Botanical Garden, Fushan Village, Wulai District, New Taipei City","1140","4","6502900","308792.21","2739390.53","645","現存","","福山植物園","福山里","114020","114021","自記式","是"
"O1V51","寶山","高雄市桃源區寶山里寶山巷16號(寶山派出所)","No.16, Baoshan Ln., Taoyuan Dist., Kaohsiung City 848, Taiwan (R.O.C.)","1730","14","6403700","220164.25","2548368.90","1067","現存","由藤枝(2)遷移至此","","","173010","173011","自記式","是"
"O1V52","民權","高雄市那瑪夏區瑪雅里和平巷171號","No.171, Heping Ln.,Maya Vil., Namaxia Dist., Kaohsiung City","1730","14","6403800","218966.00","2570932.00","587","現存","","高雄縣立三民國中","瑪雅村","173010","173011","自記式","是"
"O1V54","高中(2)","高雄市六龜區中正路137-3號","No.137-3, Zhongzheng Rd., Liugui Dist., Kaohsiung City 844, Taiwan (R.O.C.)","1730","14","6403200","219597.00","2556563.00","565.85","現存","","寶來消防分隊樓頂","","173010","173011","自記式","是"
"O1V55","多納(1)","高雄市茂林區多納巷4號","No.4, Duona Ln., Maolin Dist., Kaohsiung City 851, Taiwan (R.O.C.)","1730","14","6403600","220871.00","2534372.00","454.3","現存","","多納衛生室樓頂","","173010","173011","自記式","是"
"O1V81","溝坪","高雄市內門區永興里頂庄9號","No.9, Dingzhuang, Neimen Dist., Kaohsiung City 845, Taiwan (R.O.C.)","1730","14","6403500","199676.08","2543337.44","65","現存","","溝坪派出所","","173030","173031","自記式","是"
"O1V82","圓富國中","高雄市旗山區旗甲路2段209號","No.209, Sec. 2, Qijia Rd., Qishan Dist., Kaohsiung City 842, Taiwan (R.O.C.)","1730","14","6403000","198681.00","2536506.00","97","現存","","圓富國中","","173030","173031","自記式","是"
"wr0107","測試用","","Test","2500","8","1000201","326006.00","2702386.00","10","現存","","","","","","自記式","是"
"wr0108","測試用2","","TEST","2500","8","1000201","325071.00","2691701.00","","現存","","","","","","自記式","是"
"wr0109","測試用3","","TEST","2500","8","1000201","325071.00","2691701.00","","現存","","","","","","自記式","是"
"wr0110","測試用4","","TEST","2500","8","1000201","325071.00","2691701.00","","現存","","","","","","自記式","是"
"wr1201","鯉魚潭","苗栗縣三義鄉鯉魚潭村三櫃106號","No.106, Sangui, Sanyi Township, Miaoli County","1400","12","1000513","227002.33","2692360.48","280.30","現存","","鯉魚潭水庫","","","","自記式","是"
"wr1202","新開國小","新開村25號","No.25, Xinkai, Dahu Township, Miaoli County","1400","12","1000508","232406.99","2693545.81","335.20","現存","","新開國小","新開村","","","自記式","是"
"wr1204","白鹿","東關路2段白鹿巷","Dongguan Rd., Heping Dist., Taichung City","1420","1","6602900","241033.44","2674460.73","580","現存","","石岡壩","","","","自記式","是"
